Annotation,n,object_name
PanIN_Tumor,55,geodiff
PanIN_Healthy,43,geodiff
Glandular_Tumor_Tumor,40,geodiff
ADM_Healthy,31,geodiff
Duct_Tumor,30,geodiff
Acinar_Tumor,28,geodiff
Acinar_Healthy,20,geodiff
Duct_Healthy,20,geodiff
PoorlyDiffTumor_Tumor,9,geodiff
PanIN_Tumor,55,geodiff_norm
PanIN_Healthy,43,geodiff_norm
Glandular_Tumor_Tumor,40,geodiff_norm
ADM_Healthy,31,geodiff_norm
Duct_Tumor,30,geodiff_norm
Acinar_Tumor,28,geodiff_norm
Acinar_Healthy,20,geodiff_norm
Duct_Healthy,20,geodiff_norm
PoorlyDiffTumor_Tumor,9,geodiff_norm
PanIN_Tumor,48,q3
PanIN_Healthy,40,q3
Glandular_Tumor_Tumor,34,q3
ADM_Healthy,31,q3
Duct_Tumor,26,q3
Acinar_Tumor,24,q3
Acinar_Healthy,20,q3
Duct_Healthy,20,q3
PoorlyDiffTumor_Tumor,9,q3
PanIN_Tumor,48,tmm
PanIN_Healthy,40,tmm
Glandular_Tumor_Tumor,34,tmm
ADM_Healthy,31,tmm
Duct_Tumor,26,tmm
Acinar_Tumor,24,tmm
Acinar_Healthy,20,tmm
Duct_Healthy,20,tmm
PoorlyDiffTumor_Tumor,9,tmm
