DE_Group,n,object_name,contrast_factor
PanIN_Tumor,55,geodiff,Annotation
PanIN_Healthy,43,geodiff,Annotation
Glandular_Tumor_Tumor,40,geodiff,Annotation
ADM_Healthy,31,geodiff,Annotation
Duct_Tumor,30,geodiff,Annotation
Acinar_Tumor,28,geodiff,Annotation
Acinar_Healthy,20,geodiff,Annotation
Duct_Healthy,20,geodiff,Annotation
PoorlyDiffTumor_Tumor,9,geodiff,Annotation
PanIN_Tumor,55,geodiff_norm,Annotation
PanIN_Healthy,43,geodiff_norm,Annotation
Glandular_Tumor_Tumor,40,geodiff_norm,Annotation
ADM_Healthy,31,geodiff_norm,Annotation
Duct_Tumor,30,geodiff_norm,Annotation
Acinar_Tumor,28,geodiff_norm,Annotation
Acinar_Healthy,20,geodiff_norm,Annotation
Duct_Healthy,20,geodiff_norm,Annotation
PoorlyDiffTumor_Tumor,9,geodiff_norm,Annotation
PanIN_Tumor,48,q3,Annotation
PanIN_Healthy,40,q3,Annotation
Glandular_Tumor_Tumor,34,q3,Annotation
ADM_Healthy,31,q3,Annotation
Duct_Tumor,26,q3,Annotation
Acinar_Tumor,24,q3,Annotation
Acinar_Healthy,20,q3,Annotation
Duct_Healthy,20,q3,Annotation
PoorlyDiffTumor_Tumor,9,q3,Annotation
PanIN_Tumor,48,tmm,Annotation
PanIN_Healthy,40,tmm,Annotation
Glandular_Tumor_Tumor,34,tmm,Annotation
ADM_Healthy,31,tmm,Annotation
Duct_Tumor,26,tmm,Annotation
Acinar_Tumor,24,tmm,Annotation
Acinar_Healthy,20,tmm,Annotation
Duct_Healthy,20,tmm,Annotation
PoorlyDiffTumor_Tumor,9,tmm,Annotation
