method_name,plot_family,expression_object,status,reason,genes_plotted,samples_plotted,output_file,heatmap_gene_limit,heatmap_limit_parameter,ranking_basis
dream_GeoDiffCounts,DE summary panel,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_summary_dream_GeoDiffCounts.png,NA,NA,NA
dream_GeoDiffCounts,Volcano grid,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/region_volcano_plots_dream_GeoDiffCounts.png,NA,NA,NA
dream_GeoDiffCounts,Heatmap,GeoDiff,generated,,25,277,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_dream_GeoDiffCounts.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_dream_GeoDiffCounts.png,25,core_heatmap_max_genes,Maximum -log10(adjusted P-value) multiplied by absolute logFC across significant stage 5 contrasts
limma_voom_TMM,DE summary panel,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_summary_limma_voom_TMM.png,NA,NA,NA
limma_voom_TMM,Volcano grid,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/region_volcano_plots_limma_voom_TMM.png,NA,NA,NA
limma_voom_TMM,Heatmap,TMM,generated,,25,253,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_voom_TMM.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_voom_TMM.png,25,core_heatmap_max_genes,Maximum -log10(adjusted P-value) multiplied by absolute logFC across significant stage 5 contrasts
limma_voom_GeoDiff,DE summary panel,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_summary_limma_voom_GeoDiff.png,NA,NA,NA
limma_voom_GeoDiff,Volcano grid,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/region_volcano_plots_limma_voom_GeoDiff.png,NA,NA,NA
limma_voom_GeoDiff,Heatmap,GeoDiff,generated,,25,277,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_voom_GeoDiff.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_voom_GeoDiff.png,25,core_heatmap_max_genes,Maximum -log10(adjusted P-value) multiplied by absolute logFC across significant stage 5 contrasts
limma_trend_Q3,DE summary panel,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_summary_limma_trend_Q3.png,NA,NA,NA
limma_trend_Q3,Volcano grid,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/region_volcano_plots_limma_trend_Q3.png,NA,NA,NA
limma_trend_Q3,Heatmap,Q3,generated,,25,253,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_trend_Q3.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_trend_Q3.png,25,core_heatmap_max_genes,Maximum -log10(adjusted P-value) multiplied by absolute logFC across significant stage 5 contrasts
limma_trend_GeoDiff,DE summary panel,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_summary_limma_trend_GeoDiff.png,NA,NA,NA
limma_trend_GeoDiff,Volcano grid,NA,generated,,NA,NA,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/region_volcano_plots_limma_trend_GeoDiff.png,NA,NA,NA
limma_trend_GeoDiff,Heatmap,GeoDiff,generated,,25,277,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_trend_GeoDiff.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/de_heatmap_limma_trend_GeoDiff.png,25,core_heatmap_max_genes,Maximum -log10(adjusted P-value) multiplied by absolute logFC across significant stage 5 contrasts
