method_name,plot_family,expression_object,status,reason,genes_plotted,samples_plotted,output_file,contrast,segment_filter,adj_p_cutoff,heatmap_gene_limit,heatmap_limit_parameter,contrast_heatmap_label
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,48,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01349363_00126268.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01349363_00126268.png,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 01: Acinar_Healthy vs NonAcinar_Healthy
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,48,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01349569_00126696.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01349569_00126696.png,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 02: Acinar_Tumor vs NonAcinar_Tumor
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,32,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01353157_00126071.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01353157_00126071.png,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 03: ADM_Healthy vs NonADM_Healthy
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,50,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01348238_00126276.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01348238_00126276.png,Duct_Healthy - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 04: Duct_Healthy vs NonDuct_Healthy
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,50,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01348982_00126581.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01348982_00126581.png,Duct_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 05: Duct_Tumor vs NonDuct_Tumor
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,40,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01333741_00125906.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01333741_00125906.png,Glandular_Tumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 06: Glandular_Tumor_Tumor vs NonGlandular_Tumor_Tumor
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,98,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01355747_00126432.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01355747_00126432.png,PanIN_Healthy - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 07: PanIN_Healthy vs NonPanIN_Healthy
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,98,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01356673_00126374.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01356673_00126374.png,PanIN_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PoorlyDiffTumor_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 08: PanIN_Tumor vs NonPanIN_Tumor
limma_trend_GeoDiff,Selected-contrast heatmap,GeoDiff,generated,,10,9,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01325242_00125752.pdf; C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/selected_contrast_heatmap_limma_trend_GeoDiff_01325242_00125752.png,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,<all segments / infer from contrast>,0.01,10,heatmap_max_genes,Contrast 09: PoorlyDiffTumor_Tumor vs NonPoorlyDiffTumor_Tumor
